"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_26ez9Bn05dNKeZ9","McDonald's","","","Burger King","","","Culver's","","","Taco Bell","","12","White Castle","",""
"R_10C5xzXHzbXa6A6","olive garden","","","chilis","","","red robin","","","fox and hound","","","cheddars","",""
"R_1qTZguyOLOfWM0x","moes","6","","chipotle","2","","panera","9","","","","","","",""
"R_3jebzjUnNPGheFc","chilis","","","arbys","","","mcdonalds","","","burger king","","","jfack in box","",""
"R_3hsW3CtyWVGAtsr","starbucks","","","","","","","","","","","","","",""
"R_27xqubZkKUEheGW","Panera Bread","","9","Chipotle","2","","","","","","","","","",""
"R_1gdXWRTVUlCtmlT","Subway","","","Olive garden","","","McDonald’s","","","Bertucci","","","","",""
"R_3ncscyoj0x5CcSw","Hardees","","","Burger King","","","Culver's","","","","","","","",""
"R_qKtVTH7mgNuaXVT","Qdoba","10","","Panera","9","","Subway","","","Jimmy Johns","5","","Pizza Hut","",""
"R_2uxNKB41f0z0PjT","Panera Bread","","9","Red Robin","","","TGIF Fridays","","","In & Out","","","None","",""
"R_3lJiehxI1IXzlIk","Burger King","","","","","","","","","","","","","",""
"R_UAAdea1OElPT9GV","McDonald’s","","","Wendys","","","Panda express","","8","Subway","","","Chipotle","2",""
"R_OBwFeVPbB5AbFQt","panera","9","","","","","","","","","","","","",""
"R_232duUW8B6btqzS","Panera Bread","","9","","","","","","","","","","","",""
"R_dgIfN5jHMHIW35f","applebees","","","99","","","","","","","","","","",""
"R_3FOlXCdZXuTSmup","Panera","9","","Dublin Doughnuts","","","Starbucks","","","","","","","",""
"R_3QXahqFZbrV6BzH","Panera","9","","Chipotle","2","","Wawa","","","Wendy’s","","","McDonald’s","",""
"R_71A2KBPL36Uze13","Chipotle","2","","Panera","9","","","","","","","","","",""
"R_R2HbOrBk2584rjr","Wendys","","","taco bell","","12","Pizza hut","","","mc donalds","","","q doba","10",""
"R_3kzFySk5iNAQuj8","McDonald’s","","","Wendys","","","Quiznos","","","","","","","",""
"R_38nqBIsiuLh0vxT","red robin","","","","","","","","","","","","","",""
"R_3fHo5zeX1Rx5ngc","Applebees","","","Chilis","","","McAllisters","","","","","","","",""
"R_1mgvrWPCAHbeS8b","Panera Bread","","9","Zoe’s Kitchen","","","","","","","","","","",""
"R_10H4g7LQV9ueCaL","McDonald's","","","Wendy's","","","Taco Bell","","12","Rallys","","","Shrimp hut","",""
"R_R9cTIsUkoySepdD","5 Guys","","","Panera","9","","Subway","","","Firehouse subs","3","","","",""
"R_1gBm8gJtj5pYzX8","chick fil a","","1","","","","","","","","","","","",""
"R_b3YFJxp4oDUNyUN","Fuzzy’s Tacos","","","Crazy Bowls","","","Subway","","","Mod Pizza","","","Crushed Red","",""
"R_8DiZAWxWiqhg4Df","applebees","","","panera","9","","outback","","","chilis","","","texas road house","",""
"R_2c2m3RGd4C0St7H","None","","","","","","","","","","","","","",""
"R_1gRvYLl6sBMGipb","mcdonalds","","","canes","","","tokyo joes","","","burger king","","","taco bell","","12"
"R_3Eg13p6gT32n9gV","none","","","","","","","","","","","","","",""
"R_1N7UaI0uEJ9TsSV","kfc","","","","","","","","","","","","","",""
"R_tRl0PqnmkuoQLiF","Cafe Rio","","","Chipotle","2","","Starbucks","","","Jimmy John’s","5","","Panera","9",""
"R_2uPuefHJZf3dLyz","McDonalds","","","Subway","","","","","","","","","","",""
"R_1i9HVVCgLOOa0dj","Panera Bread","","9","Boston Market","","","Chipotle","2","","","","","","",""
"R_234wVCMFJREqUfL","McDonald’s","","","Burger King","","","Wendy’s","","","Checkers","","","Popeyes","",""
"R_1MX484Up21NVhYp","panera","9","","","","","","","","","","","","",""
"R_3oZqNjR3JxIp4Bl","mcdonalds","","","burger king","","","wendys","","","kfc","","","taco bell","","12"
"R_6tx3GeTXOsERCXD","None","","","","","","","","","","","","","",""
"R_30kIlbmEUmjQ0Yg","wendys","","","taco bell","","12","","","","","","","","",""
"R_3Hv5Q2CCnfLIvKT","McDonald","","","Burger King","","","Pizza Hut","","","Jalapeño","","","KFC","",""
"R_XREJrKa4ufDDBgl","Chipotle","2","","Qdoba","10","","Panera Bread","","9","B Good","","","Fudruckers","",""
"R_6A69VxgI9RhrZYd","Chipotle","2","","Panera","9","","","","","","","","","",""
"R_1I3Ld5ZcgPGrzBQ","Panera","9","","","","","","","","","","","","",""
"R_1IAXPZqfK1PKYFR","Applebees","","","Ruby Tuesday","","","","","","","","","","",""
"R_21mMttPUOEMTvle","McDonald’s","","","Kfc","","","Wendys","","","Taco bell","","12","Burger King","",""
"R_10r869j38Zs1VkB","Wendy’s","","","Longhorn","","","Little Caesar","","","Taco Bell","","12","Mc Donald’s","",""
"R_3Dw2IAM33u1JV0X","Subway","","","Applebees","","","","","","","","","","",""
"R_3eqXfcAltvTR3r9","In and out","","","Panda Express","","8","Dicks","","","Jack in the box","","","","",""
"R_2dK1jLXpIbfnJaO","Shake shack","","","Five guys","","","Qdoba","10","","Chipotle","2","","Old Nelson’s","",""
"R_3gehzwT4EwENzZn","Brio","","","Capital grill","","","The prime rib","","","Firebirds","","","Cheesecake factory","",""
